DNA_ID,field_ID,genotype,group,row,end?,condition,germ,yellow,flowering,final,diameter,direction,height,leaf_num,ax_heads,notes
D132,SUN_A_01,WT,A,SUN_A,end,sun,06_07_2019,07_30_2019,07_31_2019,08_07_2019,18.6,86,93.7,32,8,NA
D133,SUN_A_02,WT,A,SUN_A,end,sun,06_08_2019,07_30_2019,08_01_2019,08_08_2019,17.9,66,91.1,33,4,NA
D134,SUN_A_03,WT,A,SUN_A,middle,sun,06_08_2019,07_29_2019,07_30_2019,08_05_2019,15.4,UP,77.5,28,8,NA
D136,SUN_A_09,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,08_01_2019,08_08_2019,19,UP,87.6,30,9,NA
D137,SUN_A_10,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,08_01_2019,08_07_2019,13.5,141,80.2,33,4,NA
D138,SUN_A_11,WT,A,SUN_A,middle,sun,06_08_2019,NA,07_25_2019,07_31_2019,9.8,UP,54,28,11,NA
D139,SUN_A_12,WT,A,SUN_A,middle,sun,06_08_2019,07_27_2019,07_29_2019,08_04_2019,16.1,58,72.7,28,8,NA
D140,SUN_A_17,WT,A,SUN_A,middle,sun,06_08_2019,07_29_2019,07_31_2019,08_07_2019,16.8,39,87.4,28,8,NA
D141,SUN_A_18,WT,A,SUN_A,middle,sun,06_08_2019,07_29_2019,07_30_2019,08_06_2019,16.3,139,89.2,29,7,NA
D142,SUN_A_19,WT,A,SUN_A,middle,sun,06_08_2019,07_29_2019,07_30_2019,08_08_2019,19.7,UP,91,31,6,NA
D143,SUN_A_20,WT,A,SUN_A,middle,sun,06_08_2019,07_26_2019,07_29_2019,08_04_2019,18.5,UP,82.1,26,7,NA
D145,SUN_A_26,WT,A,SUN_A,middle,sun,06_08_2019,07_31_2019,08_02_2019,08_09_2019,19.1,53,89.2,33,8,NA
D146,SUN_A_27,WT,A,SUN_A,middle,sun,06_08_2019,07_31_2019,08_03_2019,08_09_2019,16,34,90.6,31,8,NA
D147,SUN_A_28,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,08_01_2019,08_07_2019,17.7,32,88.1,29,6,NA
D148,SUN_A_33,WT,A,SUN_A,middle,sun,06_08_2019,07_27_2019,07_29_2019,08_05_2019,15.4,UP,76.2,28,11,NA
D149,SUN_A_34,WT,A,SUN_A,middle,sun,06_08_2019,08_03_2019,08_02_2019,08_11_2019,18.7,46,101.5,34,6,NA
D150,SUN_A_35,WT,A,SUN_A,middle,sun,06_08_2019,07_31_2019,08_01_2019,08_08_2019,16.9,86,90,30,4,NA
D151,SUN_A_36,WT,A,SUN_A,middle,sun,06_08_2019,07_28_2019,07_30_2019,08_04_2019,17.8,155,82.6,30,10,NA
D152,SUN_A_38,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,07_31_2019,08_08_2019,19,27,97,30,11,NA
D153,SUN_A_39,WT,A,SUN_A,middle,sun,06_08_2019,07_29_2019,07_30_2019,08_06_2019,17,29,86.5,32,8,NA
D154,SUN_A_40,WT,A,SUN_A,middle,sun,06_08_2019,07_28_2019,07_30_2019,08_06_2019,18.9,30,89.2,27,7,NA
D155,SUN_A_41,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,07_31_2019,08_07_2019,16.8,95,86.3,30,4,NA
D156,SUN_A_42,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,07_31_2019,08_07_2019,16.3,32,89.4,32,8,NA
D157,SUN_A_43,WT,A,SUN_A,middle,sun,06_08_2019,07_28_2019,07_30_2019,08_06_2019,14,105,83.5,32,12,NA
D158,SUN_A_44,WT,A,SUN_A,end,sun,06_08_2019,NA,07_30_2019,08_06_2019,16.1,UP,80.2,28,9,NA
D159,SUN_A_45,WT,A,SUN_A,end,sun,06_08_2019,07_31_2019,08_01_2019,08_08_2019,18.2,43,81.6,29,8,NA
D160,SUN_A_25,WT,A,SUN_A,middle,sun,06_08_2019,07_30_2019,08_01_2019,08_08_2019,17.8,86,90,31,8,NA
D161,SUN_A_04,WT,A,SUN_A,middle,sun,06_08_2019,08_01_2019,08_04_2019,08_10_2019,15,109,93.6,32,10,NA
D168,SUN_A_05,elf3,A,SUN_A,middle,sun,06_07_2019,08_01_2019,08_03_2019,08_10_2019,18.3,126,90.9,33,10,NA
D169,SUN_A_06,elf3,A,SUN_A,middle,sun,06_07_2019,08_02_2019,08_03_2019,08_11_2019,19.3,119,90,33,5,NA
D171,SUN_A_07,elf3,A,SUN_A,middle,sun,06_07_2019,08_01_2019,08_02_2019,08_09_2019,17.6,42,89.9,30,4,NA
D172,SUN_A_08,elf3,A,SUN_A,middle,sun,06_07_2019,07_29_2019,07_30_2019,08_05_2019,16.5,35,78.5,32,10,NA
D173,SUN_A_13,elf3,A,SUN_A,middle,sun,06_07_2019,07_31_2019,08_03_2019,08_08_2019,18.7,58,101.1,36,8,NA
D174,SUN_A_14,elf3,A,SUN_A,middle,sun,06_07_2019,07_30_2019,07_31_2019,08_07_2019,17.7,15,93.6,33,10,NA
D175,SUN_A_15,elf3,A,SUN_A,middle,sun,06_07_2019,07_31_2019,08_01_2019,08_09_2019,18.6,33,97,31,8,NA
D178,SUN_A_16,elf3,A,SUN_A,middle,sun,06_07_2019,08_02_2019,08_04_2019,08_10_2019,19.8,134,91.8,31,6,NA
D180,SUN_A_21,elf3,A,SUN_A,middle,sun,06_07_2019,07_29_2019,07_31_2019,08_08_2019,19.8,56,87.4,33,9,NA
D181,SUN_A_22,elf3,A,SUN_A,middle,sun,06_07_2019,NA,08_01_2019,08_08_2019,19.3,119,95,36,4,NA
D182,SUN_A_23,elf3,A,SUN_A,middle,sun,06_07_2019,07_30_2019,07_31_2019,08_08_2019,17.7,114,89.8,32,11,NA
D183,SUN_A_24,elf3,A,SUN_A,middle,sun,06_08_2019,08_01_2019,08_03_2019,08_10_2019,19.5,18,99.4,36,6,NA
D184,SUN_A_29,elf3,A,SUN_A,middle,sun,06_08_2019,08_03_2019,08_05_2019,08_12_2019,20.2,358,103.1,36,7,NA
D188,SUN_A_30,elf3,A,SUN_A,middle,sun,06_08_2019,08_05_2019,08_06_2019,08_12_2019,17.9,198,104.2,36,7,NA
D197,SUN_A_31,elf3,A,SUN_A,middle,sun,06_08_2019,08_03_2019,08_05_2019,08_12_2019,18.3,31,89.8,35,7,NA
D199,SUN_A_32,elf3,A,SUN_A,middle,sun,06_08_2019,07_31_2019,08_02_2019,08_08_2019,20.5,118,93.8,35,5,NA
D200,SUN_A_37,elf3,A,SUN_A,middle,sun,06_08_2019,07_31_2019,08_03_2019,08_09_2019,17.2,183,100.8,32,8,NA
D201,SH_A_05,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,08_01_2019,08_07_2019,13.2,62,107.7,29,1,NA
D202,SH_A_06,WT,A,SH_A,middle,shade,06_08_2019,NA,NA,NA,NA,NA,NA,NA,NA,no apical meristem
D203,SH_A_07,WT,A,SH_A,middle,shade,06_08_2019,08_07_2019,08_09_2019,08_15_2019,8,67,113,29,0,small and thin
D204,SH_A_08,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,08_01_2019,08_07_2019,14.4,68,91.5,28,3,NA
D205,SH_A_13,WT,A,SH_A,middle,shade,06_08_2019,07_29_2019,08_01_2019,08_08_2019,15.8,31,101.2,30,2,NA
D206,SH_A_14,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,08_01_2019,08_07_2019,14.5,37,96.5,30,NA,NA
D207,SH_A_15,WT,A,SH_A,middle,shade,06_08_2019,07_29_2019,07_31_2019,08_06_2019,13.9,135,97.9,29,1,NA
D208,SH_A_16,WT,A,SH_A,middle,shade,06_08_2019,07_28_2019,07_29_2019,08_04_2019,10.2,53,91.2,26,3,NA
D209,SH_A_21,WT,A,SH_A,middle,shade,06_08_2019,07_26_2019,07_29_2019,08_04_2019,15,68,94.1,28,5,NA
D210,SH_A_22,WT,A,SH_A,middle,shade,06_08_2019,07_27_2019,07_29_2019,08_04_2019,17.3,UP,91.5,29,1,NA
D211,SH_A_23,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,08_01_2019,08_08_2019,14.6,14,99.1,28,4,NA
D212,SH_A_24,WT,A,SH_A,middle,shade,06_08_2019,08_01_2019,08_03_2019,08_09_2019,12.5,59,106.6,30,6,NA
D213,SH_A_29,WT,A,SH_A,middle,shade,06_08_2019,07_29_2019,07_30_2019,08_06_2019,14.4,76,92.6,27,4,NA
D214,SH_A_30,WT,A,SH_A,middle,shade,06_08_2019,07_28_2019,07_31_2019,08_07_2019,13.1,64,104,29,2,NA
D215,SH_A_31,WT,A,SH_A,middle,shade,06_08_2019,07_29_2019,07_30_2019,08_06_2019,15.2,53,96.9,30,2,NA
D217,SH_A_32,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,07_31_2019,08_06_2019,13.5,UP,94.5,31,3,NA
D218,SH_A_35,WT,A,SH_A,middle,shade,06_08_2019,NA,07_29_2019,08_05_2019,15.4,71,83.8,27,6,NA
D219,SH_A_36,WT,A,SH_A,middle,shade,06_08_2019,07_29_2019,08_06_2019,08_06_2019,16,74,100,30,4,NA
D220,SH_A_37,WT,A,SH_A,middle,shade,06_08_2019,07_30_2019,08_09_2019,08_09_2019,15.9,105,104.4,29,4,NA
D221,SH_A_38,WT,A,SH_A,middle,shade,06_08_2019,08_04_2019,08_12_2019,08_12_2019,12,42,121.5,29,0,head_stolen
D223,SH_A_39,WT,A,SH_A,middle,shade,06_08_2019,08_02_2019,08_11_2019,08_11_2019,19.4,UP,109.7,32,1,NA
D224,SH_A_40,WT,A,SH_A,middle,shade,06_08_2019,08_01_2019,08_10_2019,08_10_2019,15.8,NA,107.1,30,0,NA
D226,SH_A_41,WT,A,SH_A,middle,shade,06_08_2019,08_02_2019,08_08_2019,08_08_2019,9.3,87,130.8,27,3,NA
D229,SH_A_42,WT,A,SH_A,middle,shade,06_08_2019,08_02_2019,08_11_2019,08_11_2019,16.3,88,98.5,29,4,NA
D230,SH_A_43,WT,A,SH_A,middle,shade,06_08_2019,08_03_2019,08_10_2019,08_10_2019,12.8,107,100.2,27,3,NA
D231,SH_A_44,WT,A,SH_A,middle,shade,06_08_2019,07_28_2019,08_06_2019,08_06_2019,17.7,UP,76.2,32,10,NA
D232,SH_A_45,WT,A,SH_A,end,shade,06_08_2019,07_30_2019,08_07_2019,08_07_2019,16.4,UP,85.6,28,5,NA
D233,SH_A_46,WT,A,SH_A,end,shade,06_08_2019,NA,08_09_2019,08_09_2019,18.5,102,84.1,27,9,NA
D237,SH_A_01,elf3,A,SH_A,end,shade,06_07_2019,07_28_2019,07_30_2019,08_06_2019,20.2,60,87.1,32,2,NA
D238,SH_A_02,elf3,A,SH_A,end,shade,06_07_2019,08_03_2019,08_05_2019,08_12_2019,16.2,10,113.9,34,1,NA
D240,SH_A_03,elf3,A,SH_A,middle,shade,06_07_2019,07_30_2019,08_02_2019,08_08_2019,15.7,104,104,33,0,NA
D241,SH_A_04,elf3,A,SH_A,middle,shade,06_07_2019,08_02_2019,08_04_2019,08_11_2019,16.8,24,121.8,33,0,NA
D243,SH_A_09,elf3,A,SH_A,middle,shade,06_07_2019,NA,NA,NA,NA,NA,NA,NA,NA,no apical meristem
D244,SH_A_10,elf3,A,SH_A,middle,shade,06_07_2019,07_31_2019,08_03_2019,08_09_2019,18,140,99.5,34,6,NA
D245,SH_A_11,elf3,A,SH_A,middle,shade,06_07_2019,07_31_2019,08_03_2019,08_09_2019,16.7,75,105.8,33,7,NA
D246,SH_A_12,elf3,A,SH_A,middle,shade,06_07_2019,07_30_2019,08_01_2019,08_07_2019,12.9,UP,105.1,34,4,NA
D248,SH_A_17,elf3,A,SH_A,middle,shade,06_07_2019,07_28_2019,07_30_2019,08_07_2019,19.5,6,97.3,28,4,NA
D249,SH_A_18,elf3,A,SH_A,middle,shade,06_07_2019,07_29_2019,07_31_2019,08_07_2019,18.6,78,107.4,33,2,NA
D250,SH_A_19,elf3,A,SH_A,middle,shade,06_07_2019,08_01_2019,08_04_2019,08_11_2019,15.8,32,115.5,35,7,NA
D251,SH_A_20,elf3,A,SH_A,middle,shade,06_07_2019,08_01_2019,08_03_2019,08_11_2019,16.6,63,120,32,2,NA
D254,SH_A_25,elf3,A,SH_A,middle,shade,06_07_2019,08_01_2019,08_03_2019,08_10_2019,16.4,39,108.2,31,2,NA
D255,SH_A_26,elf3,A,SH_A,middle,shade,06_07_2019,07_31_2019,08_02_2019,08_09_2019,19.4,113,101.8,32,2,NA
D258,SH_A_27,elf3,A,SH_A,middle,shade,06_07_2019,07_30_2019,07_31_2019,08_08_2019,15.1,132,105.1,30,3,NA
D259,SH_A_28,elf3,A,SH_A,middle,shade,06_07_2019,08_02_2019,08_03_2019,08_11_2019,18.2,UP,98.4,33,4,NA
D260,SH_A_33,elf3,A,SH_A,middle,shade,06_07_2019,NA,NA,NA,NA,NA,NA,NA,NA,dead
D261,SH_B_05,elf3,B,SH_B,middle,shade,06_14_2019,08_16_2019,08_18_2019,NA,NA,NA,135.5,33,0,"small head, thin, head stolen"
D262,SH_B_06,elf3,B,SH_B,middle,shade,06_14_2019,08_08_2019,08_09_2019,08_17_2019,16.4,50,100,35,3,NA
D263,SH_B_07,elf3,B,SH_B,middle,shade,06_14_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D264,SH_B_08,elf3,B,SH_B,middle,shade,06_14_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D265,SH_B_13,elf3,B,SH_B,middle,shade,06_14_2019,08_07_2019,08_09_2019,08_16_2019,18.4,65,98.3,34,1,NA
D266,SH_B_14,elf3,B,SH_B,middle,shade,06_14_2019,08_10_2019,08_12_2019,08_18_2019,16.4,141,106.6,35,0,NA
D267,SH_B_15,elf3,B,SH_B,middle,shade,06_14_2019,08_08_2019,08_11_2019,08_17_2019,15.9,114,96.8,33,2,NA
